municipio,region,codigo_partido,PBG2021,bienes_2021,servicios_2021,agro_2021,industria_2021,PBG2022,bienes_2022,servicios_2022,agro_2022,industria_2022,poblacion,tipo,codigo_indec,PBG_per_capita,Peso_Agro,Peso_Industria,Peso_Servicios,Variacion_Total,Variacion_Bienes,Variacion_Servicios,Agroindustrial
BERISSO,Interior,098,954601369.97142,222475359.7240487,543314470.9092873,1784843.12894279,184187744.48710808,1010784799.32518,243787514.8438006,568624193.9898981,1751144.4814928295,191587288.8856571,100930,I,06098,10014.711179284455,0.17324602454072602,18.954310453972457,56.255712825274266,5.885538311708277,9.579557550187497,4.658392963149422,Resto
BOLIVAR,Interior,105,790446662.9593714,418097360.07824683,277912865.5268322,331173068.26080585,42617352.649324864,841757304.4548637,440461720.235701,299077466.32450324,363098389.36462235,44362608.28867879,37594,I,06105,22390.735342205237,43.13575747344076,5.270237401433513,35.530130209941085,6.491347727801029,5.3490794950890646,7.615552722811099,Resto
BRAGADO,Interior,112,885496630.0109136,451187060.2552288,312202133.05693865,278912506.50714815,125703726.98562393,911663873.1676452,450342816.9564003,331324109.9224835,262556667.01913,140803951.5105714,46504,I,06112,19603.988327190033,28.799722655111577,15.44472207956836,36.34279252190534,2.9550923481672764,-0.18711602641063513,6.124870665780312,Agroindustrial
BRANDSEN,Interior,119,577921383.0659741,266922358.01845464,216470167.69563183,56699126.472933605,155785421.89957774,603368711.8044336,274573045.746434,230701411.5533183,58953590.810667574,155716608.66118112,32448,I,06119,18594.943041310205,9.770740453935877,25.807869320153387,38.235560949685805,4.40325094106346,2.8662596062673678,6.574228684340615,Resto
CAMPANA,Interior,126,5455134443.178591,3467996352.3226438,965642933.2615695,44396076.34784303,3175589458.00816,5353751358.047687,3331973700.171729,1017406330.294568,32208009.21894661,3088760065.137758,110566,I,06126,48421.31720463512,0.6015970310337996,57.69337906391142,19.003615637943597,-1.8584892120794447,-3.9222259290963595,5.360511142370363,Resto
CANUELAS,Interior,134,919590495.2693803,349108903.2578677,411342383.6306891,66478943.25867731,204379585.05489153,994444179.3041784,391120155.106974,434566791.22464347,67548834.42553136,213698801.7418138,70684,C,06134,14068.872436536958,6.792622032620865,21.489270709125254,43.699465517382166,8.139893182874923,12.033852891478649,5.646004039011378,Resto
CAPITAN SARMIENTO,Interior,140,332670173.4519447,180032303.53887618,98926668.68543598,79738054.12632345,95113136.08872662,363120352.385817,203074199.57237276,101911503.34307852,99620646.52878723,99840869.56023674,15965,I,06140,22744.776222099405,27.4346083534695,27.495255747646823,28.065489216863586,9.153263912393069,12.7987564345756,3.0172194184903063,Agroindustrial
CARLOS CASARES,Interior,147,664843355.6554669,293428894.22001773,304351492.6464081,244249539.86418858,23463487.853787906,675640186.1222696,317712212.53814185,285877034.8326074,268095594.64652196,24920481.612974986,23100,I,06147,29248.492905725958,39.68023219359026,3.6884250115438166,42.31202357476005,1.6239660628266572,8.27570794712401,-6.070105867778377,Resto
CARLOS TEJEDOR,Interior,154,364797400.7200789,236267821.757863,90247106.08079915,207563306.9094017,8604096.409922251,425452711.80826914,283273401.5694206,97451763.80879168,260824303.56351736,9159705.728935644,14079,I,06154,30218.95815102416,61.3051218912099,2.152931565532829,22.905427819369134,16.62712260790835,19.89504091663013,7.9832562404185365,Resto
CARMEN DE ARECO,Interior,161,340593970.6345752,170965404.27073348,121311742.05787149,103781302.42246057,56110446.69247582,358405619.06097585,179984117.0348798,126759960.42809947,105492613.86323188,59857132.323384546,17499,I,06161,20481.4914601392,29.43386159503385,16.70094695507578,35.36773802827396,5.229584185890025,5.275168273146467,4.49108905519543,Agroindustrial
