Anio,Tipo_Valor,region,municipio,codigo_partido,pbg_total,impuestos,vab,sector,valor
2022,Constante,Interior,DAIREAUX,231,555835315.3563894,61865896.07050675,493969419.28588265,bienes,339941957.23500115
2022,Constante,Interior,DAIREAUX,231,555835315.3563894,61865896.07050675,493969419.28588265,agro,301589758.2194773
2022,Constante,Interior,DAIREAUX,231,555835315.3563894,61865896.07050675,493969419.28588265,pesca,0
2022,Constante,Interior,DAIREAUX,231,555835315.3563894,61865896.07050675,493969419.28588265,mineria,10273.656983355002
2022,Constante,Interior,DAIREAUX,231,555835315.3563894,61865896.07050675,493969419.28588265,industria,26356199.214320704
2022,Constante,Interior,DAIREAUX,231,555835315.3563894,61865896.07050675,493969419.28588265,electricidad,3107617.6446627015
2022,Constante,Interior,DAIREAUX,231,555835315.3563894,61865896.07050675,493969419.28588265,construccion,8878108.499557072
2022,Constante,Interior,DAIREAUX,231,555835315.3563894,61865896.07050675,493969419.28588265,servicios,154027462.0508815
2022,Constante,Interior,DAIREAUX,231,555835315.3563894,61865896.07050675,493969419.28588265,comercio,45938647.878521845
2022,Constante,Interior,DAIREAUX,231,555835315.3563894,61865896.07050675,493969419.28588265,hoteles,428389.5579732006
2022,Constante,Interior,DAIREAUX,231,555835315.3563894,61865896.07050675,493969419.28588265,transporte,35887255.6330328
2022,Constante,Interior,DAIREAUX,231,555835315.3563894,61865896.07050675,493969419.28588265,financiero,4653501.590744637
2022,Constante,Interior,DAIREAUX,231,555835315.3563894,61865896.07050675,493969419.28588265,inmobiliario,25606933.726637818
2022,Constante,Interior,DAIREAUX,231,555835315.3563894,61865896.07050675,493969419.28588265,publico,7511789.350488163
2022,Constante,Interior,DAIREAUX,231,555835315.3563894,61865896.07050675,493969419.28588265,ensenanza,14758907.867064212
2022,Constante,Interior,DAIREAUX,231,555835315.3563894,61865896.07050675,493969419.28588265,salud,7193791.493130435
2022,Constante,Interior,DAIREAUX,231,555835315.3563894,61865896.07050675,493969419.28588265,comunitarios,9844017.630651552
2022,Constante,Interior,DAIREAUX,231,555835315.3563894,61865896.07050675,493969419.28588265,domestico,2204227.322636851
2022,Constante,Interior,DOLORES,238,325904800.1612316,53017942.52675892,272886857.63447267,bienes,47493986.48159804
2022,Constante,Interior,DOLORES,238,325904800.1612316,53017942.52675892,272886857.63447267,agro,20591690.2246748
2022,Constante,Interior,DOLORES,238,325904800.1612316,53017942.52675892,272886857.63447267,pesca,0
2022,Constante,Interior,DOLORES,238,325904800.1612316,53017942.52675892,272886857.63447267,mineria,25684.1424583875
2022,Constante,Interior,DOLORES,238,325904800.1612316,53017942.52675892,272886857.63447267,industria,13861572.10482662
2022,Constante,Interior,DOLORES,238,325904800.1612316,53017942.52675892,272886857.63447267,electricidad,6395673.257663641
2022,Constante,Interior,DOLORES,238,325904800.1612316,53017942.52675892,272886857.63447267,construccion,6619366.751974588
2022,Constante,Interior,DOLORES,238,325904800.1612316,53017942.52675892,272886857.63447267,servicios,225392871.15287465
2022,Constante,Interior,DOLORES,238,325904800.1612316,53017942.52675892,272886857.63447267,comercio,56572470.48535022
2022,Constante,Interior,DOLORES,238,325904800.1612316,53017942.52675892,272886857.63447267,hoteles,2965273.6512550246
2022,Constante,Interior,DOLORES,238,325904800.1612316,53017942.52675892,272886857.63447267,transporte,27425662.971950114
2022,Constante,Interior,DOLORES,238,325904800.1612316,53017942.52675892,272886857.63447267,financiero,7167015.549039609
2022,Constante,Interior,DOLORES,238,325904800.1612316,53017942.52675892,272886857.63447267,inmobiliario,47983501.35978043
2022,Constante,Interior,DOLORES,238,325904800.1612316,53017942.52675892,272886857.63447267,publico,40599862.15954606
2022,Constante,Interior,DOLORES,238,325904800.1612316,53017942.52675892,272886857.63447267,ensenanza,21924336.83777407
2022,Constante,Interior,DOLORES,238,325904800.1612316,53017942.52675892,272886857.63447267,salud,11566208.06379205
2022,Constante,Interior,DOLORES,238,325904800.1612316,53017942.52675892,272886857.63447267,comunitarios,6541910.0780708445
