municipio,region,codigo_partido,PBG2021,bienes_2021,servicios_2021,agro_2021,industria_2021,PBG2022,bienes_2022,servicios_2022,agro_2022,industria_2022,poblacion,tipo,codigo_indec,PBG_per_capita,Peso_Agro,Peso_Industria,Peso_Servicios,Variacion_Total,Variacion_Bienes,Variacion_Servicios,Agroindustrial,crecimiento_total,log_poblacion,peso_agro,peso_industria,region_interior,valor_ajustado,residuo,residuo_estandar
CHIVILCOY,Interior,224,1104260604.8783596,453125273.1151944,482692125.5613023,228344515.76113808,173516141.89202207,1181415305.9016802,484977167.5836596,510851965.7248526,228207368.19097584,214145150.7386368,70839,I,06224,16677.470121002276,19.316439109175356,18.1261534084491,43.24067609188117,6.987001137455202,7.029379369966789,5.833913310850976,Resto,6.987001137455202,11.16816497547867,20.678498784830914,15.713332625058722,1,4.346184747725104,2.6408163897300976,0.4677846733915816
COLON,Interior,175,483912569.856385,251576938.93846977,156525800.0381451,129168985.52501464,98950248.72942016,505952682.8535343,257783262.66032845,169217787.5205707,131171298.56770971,98763631.49272132,27504,I,06175,18395.603652324546,25.925605894194227,19.52032963551098,33.44537804725046,4.5545650950315935,2.4669684542813406,8.10855940639344,Agroindustrial,4.5545650950315935,10.22208672762263,26.69262870426145,20.44796000211081,1,4.351063823052949,0.20350127197864387,0.03605740839301274
CORONEL DE MARINA L ROSALES,Interior,182,625362314.171233,116812100.43012632,396450549.2335683,29765829.023293957,39741100.288907774,698298378.6718642,153187997.35819608,424385232.51758647,24578917.150749534,48923175.319751754,67503,I,06182,10344.701401002389,3.51983019028308,7.006055980367834,60.77419703089535,11.663009242456551,31.140521225220844,7.046196136699127,Resto,11.663009242456551,11.11992732031744,4.759773390365133,6.35489209828306,1,7.8503369655865445,3.812672276870007,0.6889616458726794
CORONEL DORREGO,Interior,189,617361541.5406334,389306413.319905,170973978.6675545,370458436.39196086,6513819.592292901,492038352.7087028,267441798.13173315,174428545.8381715,248493568.95214495,6715230.891175635,15968,I,06189,30814.02509448289,50.50288612344381,1.3647779394040844,35.45019303432977,-20.29980496018347,-31.303007353241817,2.0205221856210933,Resto,-20.29980496018347,9.678341998551245,60.00672401255789,1.0551061499615904,1,0.4787384690855845,-20.778543429269053,-3.715046147732674
CORONEL PRINGLES,Interior,196,599323826.7405225,266794962.18778664,266313082.25650173,228540755.34336343,17214529.622167293,577125294.2741618,227143954.02351904,283592936.4564217,184342276.85666385,18580304.29001328,24420,I,06196,23633.30443383136,31.941465516341157,3.2194576246014885,49.13888531139334,-3.703929574615686,-14.861977842129864,6.488548761294685,Resto,-3.703929574615686,10.103157747664696,38.13310019498194,2.8723252529087806,1,3.6283522653757876,-7.332281839991474,-1.297687712049469
CORONEL SUAREZ,Interior,203,920562382.6388144,481915871.32603025,321574636.1972659,338509231.5049402,105729698.1527334,943313042.3555492,481479573.8796237,339359975.387325,320502769.5519263,109124570.29774147,42110,I,06203,22401.16462492399,33.97628943532871,11.568224480947094,35.975329519446525,2.4713870722720137,-0.0905339442766298,5.530703354088185,Resto,2.4713870722720137,10.648040521155973,36.772003493624766,11.485337674743633,1,2.518534400798881,-0.04714732852686743,-0.008342517551727682
DAIREAUX,Interior,231,543208118.7322366,335230093.9430186,149476876.10134497,301620046.54416883,26111957.091413666,555835315.3563894,339941957.23500115,154027462.0508815,301589758.2194773,26356199.214320704,18422,I,06231,30172.365397697828,54.25883348669643,4.741728077752974,27.710988811879012,2.3245596280156295,1.4055609496632602,3.0443410835340483,Resto,2.3245596280156295,9.821300881548181,55.5256882478309,4.806989474375847,1,0.8238305410741522,1.5007290869414773,0.26741506382327057
DOLORES,Interior,238,314399478.11772794,49159012.3579929,215059706.5156189,18285270.838817876,12415888.465788912,325904800.1612316,47493986.48159804,225392871.15287465,20591690.2246748,13861572.10482662,32032,I,06238,10174.350654384103,6.318314493830003,4.253258036693238,69.15911365569588,3.6594596506281207,-3.3870206021829063,4.804788774556118,Resto,3.6594596506281207,10.374490682114947,5.815935493369647,3.949080494700994,1,8.905375778274042,-5.245916127645922,-0.9514678797747669
ENSENADA,Interior,245,3987414707.5360065,2632983553.957962,611075684.8922739,157158.9203491453,2432120743.7317133,4101970900.0045705,2645255121.370802,676785785.7866638,991790.6771058976,2546770204.4820056,63997,I,06245,64096.299826625785,0.02417839378394402,62.08650101538185,16.499039176165528,2.8729440219011777,0.46607079616555086,10.753185328585584,Resto,2.8729440219011777,11.066591486243142,0.003941373844363947,60.99492834630748,1,5.239409109862681,-2.3664650879615037,-0.46535431854143117
ESCOBAR,Interior,252,3897113382.179907,1656117018.6342182,1582715442.5306785,2816553.2318371264,1056823004.3009996,3983024617.7013974,1588817533.8583236,1701727156.35595,2844916.8710755757,1126919316.8844206,256268,C,06252,15542.418943065062,0.07142604287285015,28.293054275290057,42.72449506822321,2.204483860139447,-4.0636913949109585,7.5194637410612595,Resto,2.204483860139447,12.453979050870206,0.07227280696312835,27.118097439337276,0,5.883784723999211,-3.6793008638597637,-0.6574027009080007
ESTEBAN ECHEVERRIA,AMBA,260,3521022309.6771746,1034102028.709546,1789817908.1653588,1488433.954054172,838765207.8760152,3726447980.5817976,1130829493.1754997,1859782608.0849037,1570097.3562177117,895531956.6437603,338480,C,06260,11009.35943211356,0.04213388632819658,24.0317847266432,49.90764979884523,5.834262121544397,9.353764114229593,3.909040109631141,Resto,5.834262121544397,12.732220285393948,0.04227277827701806,23.82163854999594,0,5.696533613405831,0.13772850813856585,0.024592423688920367
EXALTACION DE LA CRUZ,Interior,266,700869036.4933575,377269918.38689935,221186545.1393025,177973368.99467435,116113786.20621914,784152626.5573217,442136332.39235896,230061732.0669502,196062431.53125808,128189857.70994912,40159,I,06266,19526.19902281734,25.00309568457792,16.347564666427655,29.33889708142585,11.882903328224494,17.193635337482046,4.012534723600909,Agroindustrial,11.882903328224494,10.600601853657185,25.393241779537664,16.567115988911233,1,4.2809261169606545,7.601977211263839,1.3430038685888308
EZEIZA,AMBA,270,2475369799.069792,822764006.2801318,1207325963.9823363,5676543.426198793,542400415.8319583,2772436285.594946,848737948.2803771,1440029543.2012928,6180710.178282144,584320271.5268794,201511,C,06270,13758.237940335495,0.22293425498706476,21.076057710068827,51.940942725479886,12.00089322560158,3.1569127723122365,19.274295936731857,Resto,12.00089322560158,12.213599249449583,0.2293210262293721,21.911894377792947,0,6.543142462971078,5.457750762630502,0.9757692470319597
FLORENCIO VARELA,AMBA,274,4238860041.3269978,1052499413.442438,2258774352.731186,27606293.14612795,938522070.6305976,4478224745.093588,1132415204.2723303,2368234394.0472736,26405734.940166727,996286586.1892006,496433,C,06274,9020.803905247209,0.5896473813445218,22.24735565763526,52.883330534983706,5.646912175275684,7.592953479043737,4.845992747515247,Resto,5.646912175275684,13.115203808749236,0.6512669179208298,22.140907259980874,0,5.1384945770505714,0.508417598225113,0.09097687185355982
FLORENTINO AMEGHINO,Interior,277,273329398.8733676,171511067.23275235,71511704.56562752,150415425.8190291,15616225.87156446,265795536.43160772,155089252.70875892,79889929.67535628,132602553.67907436,16627464.851944266,10790,I,06277,24633.506620167536,49.8889317177057,6.255735169662153,30.0569116953222,-2.7563308128630144,-9.57478417512725,11.715879464235016,Resto,-2.7563308128630144,9.28637505825218,55.03082597006549,5.713335607487797,1,1.6332582354993281,-4.3895890483623425,-0.7817890685177378
GENERAL ALVARADO,Interior,280,643490913.0093185,275365581.91966015,280373405.71640074,233695616.1217403,16442442.461380117,605148372.4235907,228406572.68402627,288270253.8447821,176973809.80184847,18175781.55532554,45526,I,06280,13292.36858989568,29.24469731168188,3.0035248186378483,47.63629334245308,-5.958520906910238,-17.053332848741604,2.8165467791795766,Resto,-5.958520906910238,10.726038870307335,36.31684789904036,2.5551941960588356,1,3.063204202331505,-9.021725109241743,-1.6034863603640745
GENERAL ALVEAR,Interior,287,223891958.87607008,118990467.10227063,76598594.96633628,107008985.85259698,7231421.790636276,237485851.1076779,127627226.56489174,79077901.63000466,114629633.25143774,8750704.40338034,12631,I,06287,18801.824963001975,48.26798426802436,3.6847266321616368,33.29794228210679,6.071630397022173,7.258362516719877,3.2367521424616084,Resto,6.071630397022173,9.443909388773974,47.794921438795036,3.229871151665189,1,2.8498621612288764,3.221768235793297,0.5711231525685873
GENERAL ARENALES,Interior,294,412108663.1395392,237978770.8498761,127882499.21179718,207149259.2674207,24797410.40960419,416111784.30851793,231577262.6055532,136014658.91404548,198619667.92247805,26649444.222843103,16350,I,06294,25450.26203721822,47.73228622989812,6.404395460015234,32.68704805850922,0.9713751558829136,-2.6899492847457314,6.35908724991364,Resto,0.9713751558829136,9.701983176325399,50.26568907562139,6.017201924534121,1,1.8542067625762573,-0.8828316066933436,-0.15664399287844044
GENERAL BELGRANO,Interior,301,307515331.6396773,115660461.01234911,149927756.18191132,89470075.97224978,19240401.90956185,319659173.8160688,117909930.83930628,157311018.32882524,88091010.18021704,21198819.60072597,20791,I,06301,15374.88210360583,27.557791984691924,6.631694422423717,49.21210814970748,3.949020073776601,1.94489093962454,4.924546551577554,Resto,3.949020073776601,9.942275479743389,29.09450904291299,6.256729317192636,1,5.250141078342481,-1.3011210045658803,-0.2302195680080756
